it,SNR,mod,acc,f1
1,16,QPSK,0.7352380952380952,0.6005154639175257
1,16,8PSK,0.7352380952380952,0.3564131668558457
1,16,GFSK,0.7352380952380952,0.7163601161665054
1,16,CPFSK,0.7352380952380952,0.7760979121670265
1,16,PAM4,0.7352380952380952,0.9261168384879725
1,18,BPSK,0.7288095238095238,0.8585858585858585
1,18,QAM16,0.7288095238095238,0.8151898734177216
1,18,QPSK,0.7288095238095238,0.5944233206590621
1,18,8PSK,0.7288095238095238,0.3262910798122065
1,18,GFSK,0.7288095238095238,0.720703125
1,18,CPFSK,0.7288095238095238,0.7856630824372759
1,18,PAM4,0.7288095238095238,0.9219015280135823
2,-10,BPSK,0.15214285714285714,0.12848689771766694
2,-10,QAM16,0.15214285714285714,0.10376134889753567
2,-10,QPSK,0.15214285714285714,0.23763690673747098
2,-10,8PSK,0.15214285714285714,0.16383763837638377
2,-10,GFSK,0.15214285714285714,0.044709388971684055
2,-10,CPFSK,0.15214285714285714,0.08793969849246233
2,-10,PAM4,0.15214285714285714,0.013093289689034372
2,-8,BPSK,0.17333333333333334,0.13286713286713286
2,-8,QAM16,0.17333333333333334,0.21855146124523506
2,-8,QPSK,0.17333333333333334,0.25894503873109553
2,-8,8PSK,0.17333333333333334,0.18711656441717792
2,-8,GFSK,0.17333333333333334,0.09348441926345609
2,-8,CPFSK,0.17333333333333334,0.0739856801909308
2,-8,PAM4,0.17333333333333334,0.032051282051282055
2,-6,BPSK,0.26261904761904764,0.2143742255266419
2,-6,QAM16,0.26261904761904764,0.6069745523091423
2,-6,QPSK,0.26261904761904764,0.2893805309734513
2,-6,8PSK,0.26261904761904764,0.17792421746293244
2,-6,GFSK,0.26261904761904764,0.2034346103038309
2,-6,CPFSK,0.26261904761904764,0.10526315789473684
2,-6,PAM4,0.26261904761904764,0.15657311669128507
2,-4,BPSK,0.4147619047619048,0.42785445420326224
2,-4,QAM16,0.4147619047619048,0.7429398986241855
2,-4,QPSK,0.4147619047619048,0.3100511073253833
2,-4,8PSK,0.4147619047619048,0.21381267738883633
2,-4,GFSK,0.4147619047619048,0.3198031980319804
2,-4,CPFSK,0.4147619047619048,0.17667844522968199
2,-4,PAM4,0.4147619047619048,0.6285714285714286
2,-2,BPSK,0.47,0.6231783483691882
2,-2,QAM16,0.47,0.5345345345345345
2,-2,QPSK,0.47,0.2381818181818182
2,-2,8PSK,0.47,0.16181229773462782
2,-2,GFSK,0.47,0.4874863982589771
2,-2,CPFSK,0.47,0.1958997722095672
2,-2,PAM4,0.47,0.8355321020228672
2,0,BPSK,0.48738095238095236,0.72027373823781
2,0,QAM16,0.48738095238095236,0.41281138790035593
2,0,QPSK,0.48738095238095236,0.030030030030030033
2,0,8PSK,0.48738095238095236,0.054644808743169404
2,0,GFSK,0.48738095238095236,0.5922131147540983
2,0,CPFSK,0.48738095238095236,0.5
2,0,PAM4,0.48738095238095236,0.8440677966101695
2,2,BPSK,0.5811904761904761,0.7650273224043715
2,2,QAM16,0.5811904761904761,0.5059326056003797
2,2,QPSK,0.5811904761904761,0.1931216931216931
2,2,8PSK,0.5811904761904761,0.16957026713124274
2,2,GFSK,0.5811904761904761,0.6916256157635468
2,2,CPFSK,0.5811904761904761,0.683068017366136
2,2,PAM4,0.5811904761904761,0.8789161727349704
2,4,BPSK,0.6880952380952381,0.8255613126079447
2,4,QAM16,0.6880952380952381,0.6603654694391935
2,4,QPSK,0.6880952380952381,0.4523107177974435
2,4,8PSK,0.6880952380952381,0.4312977099236642
2,4,GFSK,0.6880952380952381,0.704
2,4,CPFSK,0.6880952380952381,0.7714884696016772
2,4,PAM4,0.6880952380952381,0.911130284728214
2,6,BPSK,0.7273809523809524,0.839300582847627
2,6,QAM16,0.7273809523809524,0.7442888725128961
2,6,QPSK,0.7273809523809524,0.5560165975103736
2,6,8PSK,0.7273809523809524,0.47438330170777987
2,6,GFSK,0.7273809523809524,0.7403846153846155
2,6,CPFSK,0.7273809523809524,0.792507204610951
2,6,PAM4,0.7273809523809524,0.9108225108225109
2,8,BPSK,0.7457142857142857,0.8741721854304636
2,8,QAM16,0.7457142857142857,0.7806748466257669
2,8,QPSK,0.7457142857142857,0.5847123719464145
2,8,8PSK,0.7457142857142857,0.5058139534883721
2,8,GFSK,0.7457142857142857,0.733705772811918
2,8,CPFSK,0.7457142857142857,0.7828655834564253
2,8,PAM4,0.7457142857142857,0.9301121656600517
2,10,BPSK,0.758095238095238,0.8566610455311974
2,10,QAM16,0.758095238095238,0.7920792079207921
2,10,QPSK,0.758095238095238,0.6301775147928995
2,10,8PSK,0.758095238095238,0.5123456790123457
2,10,GFSK,0.758095238095238,0.7752909579230082
2,10,CPFSK,0.758095238095238,0.7972350230414748
2,10,PAM4,0.758095238095238,0.9136442141623489
2,12,BPSK,0.74,0.8559602649006623
2,12,QAM16,0.74,0.7947530864197531
2,12,QPSK,0.74,0.5752808988764045
2,12,8PSK,0.74,0.4506172839506173
2,12,GFSK,0.74,0.7547169811320755
2,12,CPFSK,0.74,0.7796352583586627
2,12,PAM4,0.74,0.9310344827586207
2,14,BPSK,0.7404761904761905,0.8554720133667502
2,14,QAM16,0.7404761904761905,0.7905138339920948
2,14,QPSK,0.7404761904761905,0.5928099779897286
2,14,8PSK,0.7404761904761905,0.4919354838709678
2,14,GFSK,0.7404761904761905,0.7320617620345141
2,14,CPFSK,0.7404761904761905,0.7713207547169811
2,14,PAM4,0.7404761904761905,0.9265341400172862
2,16,BPSK,0.7457142857142857,0.8841413311421528
2,16,QAM16,0.7457142857142857,0.8069345941686368
2,16,QPSK,0.7457142857142857,0.6040878122634368
2,16,8PSK,0.7457142857142857,0.49458128078817737
2,16,GFSK,0.7457142857142857,0.7274336283185842
2,16,CPFSK,0.7457142857142857,0.7552123552123552
2,16,PAM4,0.7457142857142857,0.9228100607111882
2,18,BPSK,0.7323809523809524,0.8566694283347142
2,18,QAM16,0.7323809523809524,0.781804163454125
2,18,QPSK,0.7323809523809524,0.5783132530120482
2,18,8PSK,0.7323809523809524,0.44918699186991873
2,18,GFSK,0.7323809523809524,0.7349505840071877
2,18,CPFSK,0.7323809523809524,0.7721712538226299
2,18,PAM4,0.7323809523809524,0.9165950128976784
3,-10,BPSK,0.1411904761904762,0.09532888465204957
3,-10,QAM16,0.1411904761904762,0.03453689167974883
3,-10,QPSK,0.1411904761904762,0.22887106724244294
3,-10,8PSK,0.1411904761904762,0.16292134831460675
3,-10,GFSK,0.1411904761904762,0.003311258278145696
3,-10,CPFSK,0.1411904761904762,0.06699751861042184
3,-10,PAM4,0.1411904761904762,0.05329153605015673
3,-8,BPSK,0.16142857142857142,0.1057616416732439
3,-8,QAM16,0.16142857142857142,0.05937500000000001
3,-8,QPSK,0.16142857142857142,0.26298701298701294
3,-8,8PSK,0.16142857142857142,0.18306636155606407
3,-8,GFSK,0.16142857142857142,0.019138755980861243
3,-8,CPFSK,0.16142857142857142,0.04282115869017632
3,-8,PAM4,0.16142857142857142,0.12922173274596183
3,-6,BPSK,0.2530952380952381,0.2064606741573034
3,-6,QAM16,0.2530952380952381,0.4156479217603912
3,-6,QPSK,0.2530952380952381,0.2975753122703894
3,-6,8PSK,0.2530952380952381,0.18056749785038695
3,-6,GFSK,0.2530952380952381,0.012779552715654955
3,-6,CPFSK,0.2530952380952381,0.09215442092154422
3,-6,PAM4,0.2530952380952381,0.4620853080568721
